id,nombre,lat,lon,provincia,tipo
ahedo-de-butron,Ahedo de Butrón,42.8333,-3.6833,Burgos,aldea
ahedo-de-las-pueblas,Ahedo de las Pueblas,43.0273,-3.8011,Burgos,aldea
ahigal,Ahigal,40.1895,-6.1882,Cáceres,base
ahigal-de-los-aceiteros,Ahigal de los Aceiteros,40.8723,-6.747,Salamanca,base
ahigal-de-villarino,Ahigal de Villarino,41.1582,-6.3804,Salamanca,base
ahillas,Ahillas,39.8167,-0.9667,Valencia,aldea
ahillones,Ahillones,38.2667,-5.85,Badajoz,base
ahin,Ahín,39.9,-0.3333,Castellón,aldea
aia,Aia,43.2372,-2.1483,Gipuzkoa,base
aiara,Aiara,43.0816,-3.0751,Araba,municipio
aiastia-san-migel,Aiastia (San Migel),43.2323,-2.4343,Gipuzkoa,aldea
aiaz,Aiaz,42.6358,-7.5838,Lugo,aldea
aiazatza,Aiazatza,43.1302,-2.9379,Bizkaia,aldea
aiazo,Aiazo,43.0167,-8.2667,A Coruña,aldea
aibar,Aibar,42.5933,-1.3536,Navarra,municipio
aielo-de-malferit,Aielo de Malferit,38.8833,-0.5833,Valencia,base
aielo-de-rugat,Aielo de Rugat,38.8833,-0.0333,Alicante,aldea
aiete,Aiete,43.2986,-1.9902,Gipuzkoa,aldea
aigas,Aigas,42.9662,-6.9136,Lugo,aldea
aiguabella,Aiguabella,42.4432,0.9919,Lleida,aldea
aiguablava,Aiguablava,41.934,3.2182,Girona,aldea
aiguafreda,Aiguafreda,41.7681,2.2505,Barcelona,base
aiguamurcia,Aiguamúrcia,41.363,1.424,Tarragona,municipio
aiguaviva,Aiguaviva,41.9384,2.7622,Girona,base
aigues,Aigües,38.5,-0.35,Alicante,base
ainet-de-besan,Ainet de Besan,42.5381,1.2968,Lleida,aldea
aineto,Aineto,42.3924,-0.194,Huesca,aldea
ainielle,Ainielle,42.5702,-0.24,Huesca,aldea
ainsa,Aínsa,42.4155,0.1401,Huesca,base
ainsa-sobrarbe,Aínsa-Sobrarbe,42.3269,0.0713,Huesca,municipio
aintzerga,Aintzerga,43.1038,-1.9627,Gipuzkoa,aldea
aintzioa,Aintzioa,42.9167,-1.4167,Navarra,aldea
ainzon,Ainzón,41.8164,-1.5199,Zaragoza,base
airoa,Airoá,42.7922,-6.984,Lugo,aldea
aisa,Aisa,42.7192,-0.59,Huesca,municipio
aitona,Aitona,41.4833,0.4667,Lleida,base
aitzarte,Aitzarte,42.9909,-2.1517,Gipuzkoa,aldea
aizarna,Aizarna,43.2345,-2.2261,Gipuzkoa,aldea
aizarnazabal,Aizarnazabal,43.2559,-2.2361,Gipuzkoa,base
aizaroz,Aizároz,43.0112,-1.7836,Navarra,aldea
aizkorriaundi,Aizkorriaundi,43.1513,-2.1349,Gipuzkoa,aldea
ajalvir,Ajalvir,40.532,-3.4784,Madrid,base
ajamil,Ajamil,42.1671,-2.4875,La Rioja,base
ajamil-de-cameros,Ajamil de Cameros,42.1586,-2.4413,La Rioja,municipio
ajanedo,Ajanedo,43.2607,-3.7141,Cantabria,aldea
ajarte,Ajarte,42.754,-2.6324,Burgos,aldea
ajo,Ajo,43.4785,-3.612,Cantabria,aldea
ajofrin,Ajofrín,39.7109,-3.9822,Toledo,base
ajuy,Ajuy,28.3994,-14.1538,Las Palmas,aldea
alacon,Alacón,41.0258,-0.6978,Teruel,base
aladren,Aladrén,41.2492,-1.1559,Zaragoza,base
alaejos,Alaejos,41.3073,-5.2157,Valladolid,base
alagon,Alagón,41.7696,-1.1191,Zaragoza,base
alagon-del-rio,Alagón del Río,39.9686,-6.3166,Cáceres,municipio
alagueces,Alagüeces,37.8391,-1.7247,Murcia,aldea
alaior,Alaior,39.9303,4.1404,Illes Balears,base
alais,Alais,42.393,-7.4272,Ourense,aldea
alaitza,Alaitza,42.8237,-2.4145,Araba,aldea
alajar,Alájar,37.8741,-6.6654,Huelva,base
alaje,Alaje,43.5569,-7.4373,Lugo,aldea
alajero,Alajeró,28.062,-17.2407,Santa Cruz de Tenerife,base
alalo,Alaló,41.3742,-2.9101,Soria,aldea
alalpardo,Alalpardo,40.6274,-3.4728,Madrid,aldea
alameda,Alameda,37.2087,-4.6586,Málaga,base
alameda-de-cervera,Alameda de Cervera,39.2652,-3.1272,Ciudad Real,aldea
alameda-de-osuna,Alameda de Osuna,40.4518,-3.5867,Madrid,base
alameda-del-obispo,Alameda del Obispo,37.8593,-4.8027,Córdoba,aldea
alameda-del-valle,Alameda del Valle,40.9187,-3.8424,Madrid,base
alamedilla,Alamedilla,37.5823,-3.2424,Granada,base
alamillo,Alamillo,38.6784,-4.7901,Ciudad Real,base
alaminos,Alaminos,40.863,-2.7257,Guadalajara,base
alange,Alange,38.785,-6.2457,Badajoz,base
alanis,Alanís,38.0333,-5.7167,Sevilla,base
alaquas,Alaquàs,39.4557,-0.461,Valencia,base
alar-del-rey,Alar del Rey,42.6604,-4.3127,Palencia,base
alaraz,Alaraz,40.7489,-5.2878,Salamanca,base
alarba,Alarba,41.2048,-1.6134,Zaragoza,base
alarcia,Alarcia,42.3054,-3.2973,Burgos,aldea
alarcon,Alarcón,39.55,-2.0833,Cuenca,base
alarilla,Alarilla,40.8471,-3.1031,Guadalajara,base
alaro,Alaró,39.7044,2.7918,Illes Balears,base
alas-i-cerc,Alàs i Cerc,42.35,1.5167,Lleida,base
alastruey,Alastruey,42.5225,-0.759,Huesca,aldea
alatoz,Alatoz,39.0949,-1.361,Albacete,base
alba,Alba,40.6183,-1.3466,Teruel,base
alba-de-cerrato,Alba de Cerrato,41.8128,-4.3647,Palencia,base
alba-de-los-cardanos,Alba de los Cardaños,42.9083,-4.719,Palencia,aldea
alba-de-tormes,Alba de Tormes,40.8266,-5.5124,Salamanca,base
alba-de-yeltes,Alba de Yeltes,40.6718,-6.3166,Salamanca,base
albacastro,Albacastro,42.6813,-4.1903,Burgos,aldea
albacete,Albacete,38.9942,-1.8564,Albacete,base
albaida,Albaida,38.838,-0.5172,Valencia,base
albaida-del-aljarafe,Albaida del Aljarafe,37.4235,-6.1668,Sevilla,base
albal,Albal,39.4,-0.4167,Valencia,base
albala,Albalá,39.2559,-6.1853,Cáceres,base
albaladejito,Albaladejito,40.1,-2.1667,Cuenca,aldea
albaladejo,Albaladejo,38.6189,-2.8078,Ciudad Real,base
