indicativo,nombre,provincia,altitud_m,lat,lon,dist_costa_km,grupo_costa,franja_altitud,n_veranos,anio_ini,anio_fin,noches_posibles,nivel_partida,nivel_final,cambio_absoluto,pendiente_noches_anio,ic95_inf,ic95_sup,ic95_excluye_cero,r2,error_std,cerca_del_techo,posible_inhomogeneidad,salto_max_veranos,serie,fuente
7020C,MURCIA AEROPUERTO,MURCIA,205.0,37.8075,-1.1281,24.6,litoral,200-500,8,2019,2026,81,42.33,61.33,19.0,3.881,1.7934,5.9685,si,0.7752,0.8531,no,no,19.0,2019:43;2020:41;2021:43;2022:49;2023:60;2024:50;2025:69;2026:65,AEMET
0158X,MONISTROL DE MONTSERRAT,BARCELONA,738.0,41.5944,1.8392,37.1,interior,500-800,10,2017,2026,81,19.0,37.33,18.33,2.9697,0.5732,5.3662,si,0.5051,1.0392,no,no,20.0,2017:22;2018:12;2019:23;2020:17;2021:14;2022:33;2023:23;2024:22;2025:35;2026:55,AEMET
4436Y,ALMENDRALEJO,BADAJOZ,371.0,38.6889,-6.3611,75.1,interior,200-500,10,2017,2026,81,15.33,33.67,18.33,2.3758,0.4003,4.3512,si,0.4902,0.8567,no,no,19.0,2017:23;2018:12;2019:11;2020:27;2021:12;2022:31;2023:23;2024:24;2025:41;2026:36,AEMET
5998X,OSUNA,SEVILLA,255.0,37.2433,-5.1125,83.1,interior,200-500,10,2017,2026,81,45.33,63.67,18.33,2.4061,0.1615,4.6506,si,0.433,0.9734,no,si,-22.0,2017:61;2018:39;2019:36;2020:52;2021:56;2022:55;2023:61;2024:53;2025:67;2026:71,AEMET
6213X,NERJA,MALAGA,169.0,36.7628,-3.8453,1.5,litoral,<200,10,2017,2026,81,47.67,66.0,18.33,2.5152,0.3374,4.6929,si,0.47,0.9444,no,no,19.0,2017:56;2018:41;2019:46;2020:58;2021:40;2022:59;2023:57;2024:54;2025:73;2026:71,AEMET
9434P,"ZARAGOZA, VALDESPARTERA",ZARAGOZA,258.0,41.6211,-0.9347,165.5,interior,200-500,10,2017,2026,81,27.33,45.67,18.33,2.9636,0.8359,5.0914,si,0.5632,0.9227,no,no,17.0,2017:23;2018:26;2019:33;2020:25;2021:23;2022:40;2023:28;2024:31;2025:46;2026:60,AEMET
B248,"SIERRA DE ALFABIA, BUNYOLA",BALEARES,1030.0,39.735,2.7131,6.0,litoral,800-1200,8,2017,2025,81,19.33,37.67,18.33,3.3509,0.5867,6.1151,si,0.5946,1.1296,no,no,23.0,2017:21;2018:12;2019:25;2020:17;2021:15;2022:38;2023:30;2025:45,AEMET
0194D,"CORBERA, PUIG D'AGULLES",BARCELONA,647.0,41.4081,1.885,16.9,litoral,500-800,8,2017,2026,81,14.67,32.67,18.0,2.8676,-0.9254,6.6607,no,0.3632,1.5501,no,no,27.0,2017:15;2019:18;2020:11;2022:38;2023:14;2024:15;2025:30;2026:53,AEMET
4339X,CAÑAMERO,CACERES,590.0,39.3142,-5.3689,185.3,interior,500-800,10,2017,2026,81,14.33,32.0,17.67,2.1394,-0.1471,4.4259,no,0.3679,0.9916,no,no,22.0,2017:24;2018:11;2019:8;2020:30;2021:12;2022:31;2023:23;2024:23;2025:42;2026:31,AEMET
4642E,"HUELVA, RONDA ESTE",HUELVA,18.0,37.2783,-6.9117,11.1,litoral,<200,10,2017,2026,81,18.0,35.67,17.67,2.497,0.2021,4.7918,si,0.4404,0.9952,no,no,21.0,2017:26;2018:11;2019:17;2020:38;2021:17;2022:33;2023:41;2024:25;2025:40;2026:42,AEMET
5281X,BAILÉN,JAEN,345.0,38.0931,-3.7825,149.3,interior,200-500,9,2017,2026,81,44.0,61.67,17.67,2.6721,-0.4382,5.7824,no,0.371,1.3151,no,si,-35.0,2017:60;2018:25;2020:47;2021:47;2022:55;2023:62;2024:49;2025:68;2026:68,AEMET
5429X,"CÓRDOBA, PRÁGDENA",CORDOBA,275.0,37.8103,-4.4622,120.3,interior,200-500,10,2017,2026,81,32.0,49.67,17.67,2.4182,-0.3573,5.1936,no,0.3354,1.2036,no,no,-29.0,2017:48;2018:19;2019:29;2020:41;2021:24;2022:47;2023:48;2024:40;2025:58;2026:51,AEMET
9546B,HIJAR,TERUEL,305.0,41.1719,-0.4419,106.2,interior,200-500,10,2017,2026,81,20.0,37.67,17.67,2.8909,1.1105,4.6713,si,0.6367,0.7721,no,no,18.0,2017:20;2018:23;2019:17;2020:13;2021:17;2022:35;2023:31;2024:28;2025:37;2026:48,AEMET
C328W,HERMIGUA,SANTA CRUZ DE TENERIFE,252.0,28.1636,-17.1942,1.6,litoral,200-500,8,2017,2026,81,12.33,30.0,17.67,2.8534,-0.2413,5.9482,no,0.459,1.2647,no,no,19.0,2017:9;2019:6;2020:22;2021:4;2022:20;2023:39;2024:21;2026:30,AEMET
4091Y,VILLARROBLEDO,ALBACETE,718.0,39.2619,-2.5925,195.8,interior,500-800,10,2017,2026,81,6.33,23.67,17.33,2.3758,1.1504,3.6011,si,0.7142,0.5314,no,si,-8.0,2017:12;2018:4;2019:3;2020:5;2021:9;2022:13;2023:13;2024:18;2025:26;2026:27,AEMET
5298X,ANDÚJAR,JAEN,202.0,38.0231,-4.0633,141.6,interior,200-500,8,2017,2026,81,17.0,34.33,17.33,2.6029,1.207,3.9989,si,0.7763,0.5705,no,no,13.0,2017:16;2019:11;2020:24;2022:32;2023:28;2024:32;2025:38;2026:33,AEMET
6307X,LÁUJAR DE ANDARAX,ALMERIA,1510.0,37.0333,-2.9125,31.5,interior,>1200,9,2017,2025,81,11.67,29.0,17.33,2.4333,0.5013,4.3653,si,0.559,0.8169,no,no,-15.0,2017:20;2018:5;2019:10;2020:16;2021:15;2022:20;2023:33;2024:25;2025:29,AEMET
0370E,GIRONA,GIRONA,76.0,41.9722,2.8194,26.6,litoral,<200,10,2017,2026,81,24.67,41.67,17.0,2.697,0.7059,4.688,si,0.5495,0.8634,no,no,25.0,2017:27;2018:18;2019:29;2020:30;2021:17;2022:42;2023:35;2024:30;2025:43;2026:52,AEMET
3365A,TALAVERA DE LA REINA,TOLEDO,372.0,39.9586,-4.8636,266.2,interior,200-500,8,2019,2026,81,13.0,30.0,17.0,2.9405,0.1119,5.7691,si,0.5189,1.1559,no,no,17.0,2019:11;2020:21;2021:7;2022:24;2023:12;2024:24;2025:36;2026:30,AEMET
3448X,SERRADILLA,CACERES,406.0,39.8208,-6.1275,193.3,interior,200-500,10,2017,2026,81,24.33,41.33,17.0,2.1273,-0.3692,4.6238,no,0.3255,1.0826,no,no,28.0,2017:36;2018:20;2019:17;2020:36;2021:18;2022:46;2023:34;2024:35;2025:49;2026:40,AEMET
5470,FUENTE PALMERA,CORDOBA,120.0,37.7531,-5.1006,130.0,interior,<200,10,2017,2026,81,28.33,45.33,17.0,2.097,-0.2908,4.4847,no,0.3389,1.0355,no,no,-22.0,2017:42;2018:20;2019:23;2020:41;2021:34;2022:44;2023:44;2024:37;2025:58;2026:41,AEMET
8013X,NOVELDA,ALICANTE,233.0,38.3856,-0.7578,22.0,litoral,200-500,10,2017,2026,81,48.67,65.67,17.0,2.6364,0.911,4.3618,si,0.6081,0.7482,no,si,16.0,2017:52;2018:46;2019:48;2020:43;2021:39;2022:55;2023:61;2024:61;2025:67;2026:69,AEMET
4064Y,ALCAZAR DE SAN JUAN,CIUDAD REAL,640.0,39.3908,-3.2158,248.8,interior,500-800,10,2017,2026,81,31.33,48.0,16.67,2.5333,0.3183,4.7483,si,0.4651,0.9605,no,no,24.0,2017:39;2018:22;2019:33;2020:40;2021:22;2022:46;2023:48;2024:38;2025:52;2026:54,AEMET
4147X,VALDEPEÑAS,CIUDAD REAL,700.0,38.7506,-3.3914,215.7,interior,500-800,10,2017,2026,81,26.33,43.0,16.67,2.2485,0.6912,3.8058,si,0.5808,0.6753,no,no,-15.0,2017:35;2018:20;2019:24;2020:33;2021:26;2022:40;2023:36;2024:36;2025:47;2026:46,AEMET
9302Y,TUDELA,NAVARRA,297.0,42.0556,-1.6094,138.6,interior,200-500,10,2017,2026,81,14.33,31.0,16.67,2.6121,0.2784,4.9459,si,0.4544,1.012,no,no,23.0,2017:11;2018:14;2019:18;2020:14;2021:7;2022:30;2023:12;2024:22;2025:24;2026:47,AEMET
4411C,ALCUESCAR,CACERES,467.0,39.1975,-6.2311,127.2,interior,200-500,10,2017,2026,81,14.33,30.33,16.0,2.0,-0.3891,4.3891,no,0.3178,1.036,no,no,23.0,2017:24;2018:9;2019:10;2020:27;2021:10;2022:33;2023:20;2024:20;2025:41;2026:30,AEMET
5473X,AZUAGA,BADAJOZ,581.0,38.2678,-5.6861,111.5,interior,500-800,10,2017,2026,81,17.33,33.33,16.0,1.8606,-0.8419,4.5631,no,0.2396,1.172,no,no,25.0,2017:28;2018:12;2019:12;2020:31;2021:11;2022:36;2023:23;2024:26;2025:47;2026:27,AEMET
