indicativo,nombre,provincia,altitud_m,lat,lon,dist_costa_km,grupo_costa,franja_altitud,n_veranos,anio_ini,anio_fin,noches_posibles,nivel_partida,nivel_final,cambio_absoluto,pendiente_noches_anio,ic95_inf,ic95_sup,ic95_excluye_cero,r2,error_std,cerca_del_techo,posible_inhomogeneidad,salto_max_veranos,serie,fuente
4103X,TOMELLOSO,CIUDAD REAL,662.0,39.1692,-3.0075,230.0,interior,500-800,9,2018,2026,81,13.0,22.33,9.33,1.8333,0.6054,3.0613,si,0.6404,0.5192,no,no,10.0,2018:10;2019:15;2020:14;2021:12;2022:18;2023:27;2024:21;2025:18;2026:28,AEMET
4300Y,ALMADÉN,CIUDAD REAL,535.0,38.7753,-4.8453,194.9,interior,500-800,10,2017,2026,81,37.33,46.67,9.33,1.3212,-0.8135,3.4559,no,0.2029,0.9257,no,no,-20.0,2017:50;2018:30;2019:32;2020:46;2021:35;2022:50;2023:49;2024:36;2025:51;2026:53,AEMET
5394X,"CÓRDOBA, EMBALSE DE GUADANUÑO",CORDOBA,525.0,38.0208,-4.7967,148.0,interior,500-800,9,2017,2026,81,11.0,20.33,9.33,1.2284,-0.6262,3.083,no,0.2596,0.7842,no,no,18.0,2017:19;2018:8;2019:6;2020:24;2022:27;2023:26;2024:15;2025:22;2026:24,AEMET
7250C,ABANILLA,MURCIA,174.0,38.1944,-1.0339,35.0,interior,<200,10,2017,2026,81,27.33,36.67,9.33,1.7636,-0.5803,4.1076,no,0.2734,1.0164,no,no,24.0,2017:32;2018:27;2019:23;2020:15;2021:20;2022:22;2023:46;2024:29;2025:43;2026:38,AEMET
9513X,MUNIESA,TERUEL,800.0,41.0311,-0.8056,123.8,interior,800-1200,10,2017,2026,81,4.0,13.33,9.33,1.503,0.5362,2.4699,si,0.6163,0.4193,no,no,12.0,2017:2;2018:3;2019:7;2020:1;2021:2;2022:14;2023:7;2024:12;2025:10;2026:18,AEMET
B605X,"MURO, S'ALBUFERA",BALEARES,2.0,39.7967,3.1047,2.2,litoral,<200,10,2017,2026,81,23.33,32.67,9.33,1.7212,0.198,3.2445,si,0.4591,0.6606,no,no,12.0,2017:26;2018:24;2019:20;2020:16;2021:28;2022:35;2023:39;2024:27;2025:32;2026:39,AEMET
C029O,LANZAROTE AEROPUERTO,LAS PALMAS,14.0,28.9519,-13.6003,1.0,litoral,<200,10,2017,2026,81,44.67,54.0,9.33,1.3636,-2.1459,4.8732,no,0.0912,1.5219,no,no,31.0,2017:59;2018:33;2019:42;2020:64;2021:34;2022:44;2023:75;2024:46;2025:60;2026:56,AEMET
C648N,"TELDE, CENTRO FORESTAL DORAMAS",LAS PALMAS,344.0,27.9875,-15.4578,7.4,litoral,200-500,10,2017,2026,81,13.67,23.0,9.33,1.303,-0.3676,2.9737,no,0.2879,0.7245,no,si,-19.0,2017:24;2018:5;2019:12;2020:14;2021:17;2022:13;2023:21;2024:19;2025:18;2026:32,AEMET
0034X,VALLS,TARRAGONA,233.0,41.2931,1.2608,18.3,litoral,200-500,10,2017,2026,81,16.33,25.33,9.0,1.7091,0.2162,3.202,si,0.4656,0.6474,no,no,10.0,2017:17;2018:13;2019:19;2020:12;2021:9;2022:19;2023:27;2024:17;2025:25;2026:34,AEMET
0092X,BERGA,BARCELONA,682.0,42.1014,1.8575,30.0,interior,500-800,10,2017,2026,81,5.67,14.67,9.0,1.5758,0.4664,2.6851,si,0.5728,0.4811,no,no,12.0,2017:6;2018:6;2019:5;2020:2;2021:4;2022:9;2023:16;2024:10;2025:11;2026:23,AEMET
0200E,"BARCELONA, FABRA",BARCELONA,408.0,41.4183,2.1242,6.3,litoral,200-500,10,2017,2026,81,41.0,50.0,9.0,1.8121,-0.6223,4.2466,no,0.2692,1.0557,no,no,25.0,2017:41;2018:40;2019:42;2020:38;2021:27;2022:52;2023:45;2024:34;2025:51;2026:65,AEMET
0244X,VILASSAR DE DALT,BARCELONA,56.0,41.505,2.3625,0.8,litoral,<200,8,2017,2026,81,52.67,61.67,9.0,1.5,-0.2956,3.2956,no,0.4105,0.7338,no,no,17.0,2017:55;2018:51;2019:52;2021:55;2022:64;2024:49;2025:66;2026:70,AEMET
1012P,IRUN,GIPUZKOA,120.0,43.3264,-1.7967,2.0,litoral,<200,10,2017,2026,81,6.33,15.33,9.0,1.4848,-0.3216,3.2913,no,0.3099,0.7834,no,si,21.0,2017:3;2018:9;2019:7;2020:7;2021:1;2022:12;2023:4;2024:7;2025:9;2026:30,AEMET
7275C,YECLA,MURCIA,640.0,38.6017,-1.1597,63.9,interior,500-800,9,2017,2026,81,5.67,14.67,9.0,1.3703,0.5478,2.1928,si,0.6892,0.3478,no,no,9.0,2017:8;2018:4;2019:5;2020:4;2021:7;2023:12;2024:9;2025:18;2026:17,AEMET
8500A,CASTELLÓ - ALMASSORA,CASTELLON,43.0,39.9572,-0.0719,6.4,litoral,<200,10,2017,2026,81,57.67,66.67,9.0,1.3879,0.2384,2.5373,si,0.4921,0.4985,no,no,14.0,2017:56;2018:61;2019:56;2020:57;2021:52;2022:66;2023:63;2024:62;2025:72;2026:66,AEMET
9756X,BENABARRE,HUESCA,765.0,42.1125,0.48,108.4,interior,500-800,10,2017,2026,81,1.67,10.67,9.0,1.3879,0.5364,2.2394,si,0.6385,0.3692,no,si,14.0,2017:1;2018:2;2019:2;2020:3;2021:4;2022:8;2023:7;2024:8;2025:5;2026:19,AEMET
9981A,ESTACIÓN DE TORTOSA (ROQUETES),TARRAGONA,50.0,40.8203,0.4933,21.6,litoral,<200,10,2017,2026,81,49.67,58.67,9.0,1.6121,-0.4141,3.6384,no,0.2961,0.8787,no,no,23.0,2017:49;2018:53;2019:47;2020:46;2021:35;2022:58;2023:56;2024:48;2025:66;2026:62,AEMET
C629Q,"MOGÁN, PUERTO RICO",LAS PALMAS,10.0,27.78,-15.7111,0.1,litoral,<200,10,2017,2026,81,67.0,76.0,9.0,1.1697,-0.8991,3.2385,no,0.1752,0.8972,si,no,-23.0,2017:77;2018:54;2019:70;2020:79;2021:62;2022:76;2023:81;2024:77;2025:75;2026:76,AEMET
1082,BILBAO AEROPUERTO,BIZKAIA,42.0,43.2981,-2.9064,12.7,litoral,<200,10,2017,2026,81,3.67,12.33,8.67,1.2667,0.1436,2.3897,si,0.4582,0.487,no,no,10.0,2017:3;2018:4;2019:4;2020:3;2021:1;2022:6;2023:1;2024:7;2025:10;2026:20,AEMET
4067,MADRIDEJOS,TOLEDO,690.0,39.4919,-3.5283,275.3,interior,500-800,8,2017,2026,81,7.67,16.33,8.67,1.5071,0.1944,2.8199,si,0.5681,0.5365,no,no,11.0,2017:10;2018:1;2020:12;2021:9;2022:20;2023:12;2025:18;2026:19,AEMET
4395X,VILLAFRANCA DE LOS BARROS,BADAJOZ,430.0,38.5517,-6.3067,69.1,interior,200-500,10,2017,2026,81,6.33,15.0,8.67,1.0485,0.0994,1.9976,si,0.4479,0.4116,no,no,10.0,2017:9;2018:7;2019:3;2020:13;2021:6;2022:12;2023:10;2024:11;2025:20;2026:14,AEMET
5107D,DÓLAR,GRANADA,1197.0,37.18,-2.9864,47.8,interior,800-1200,10,2017,2026,81,6.0,14.67,8.67,1.1212,0.0263,2.2161,si,0.4107,0.4748,no,no,-11.0,2017:13;2018:2;2019:3;2020:12;2021:9;2022:17;2023:15;2024:14;2025:13;2026:17,AEMET
5361X,MONTORO,CORDOBA,155.0,38.0133,-4.3303,142.2,interior,<200,10,2017,2026,81,17.33,26.0,8.67,0.9152,-0.9544,2.7847,no,0.1374,0.8107,no,no,-18.0,2017:27;2018:9;2019:16;2020:33;2021:26;2022:27;2023:25;2024:19;2025:33;2026:26,AEMET
6155A,MÁLAGA AEROPUERTO,MALAGA,7.0,36.6661,-4.4822,2.1,litoral,<200,10,2017,2026,81,58.67,67.33,8.67,1.4606,-0.2102,3.1315,no,0.3368,0.7246,no,no,16.0,2017:65;2018:54;2019:57;2020:59;2021:52;2022:68;2023:68;2024:57;2025:72;2026:73,AEMET
7247X,EL PINÓS/PINOSO,ALICANTE,577.0,38.3997,-1.0381,44.5,interior,500-800,10,2017,2026,81,1.67,10.33,8.67,1.3091,0.6989,1.9193,si,0.7536,0.2646,no,no,7.0,2017:1;2018:0;2019:4;2020:2;2021:8;2022:3;2023:9;2024:6;2025:13;2026:12,AEMET
9510X,QUINTO,ZARAGOZA,205.0,41.4292,-0.5039,123.8,interior,200-500,10,2017,2026,81,25.33,34.0,8.67,1.7152,-0.4677,3.898,no,0.291,0.9466,no,no,22.0,2017:25;2018:28;2019:23;2020:15;2021:12;2022:34;2023:28;2024:24;2025:32;2026:46,AEMET
B603X,ARTÀ-COLÒNIA DE SANT PERE,BALEARES,99.0,39.7231,3.2786,1.1,litoral,<200,8,2018,2026,81,51.0,59.67,8.67,1.5833,0.0494,3.1172,si,0.5153,0.6268,no,no,14.0,2018:51;2019:54;2020:48;2021:50;2023:61;2024:52;2025:66;2026:61,AEMET
C458A,TACORONTE,SANTA CRUZ DE TENERIFE,310.0,28.4964,-16.42,0.4,litoral,200-500,10,2017,2026,81,1.33,10.0,8.67,1.3697,0.3509,2.3885,si,0.5458,0.4418,no,si,13.0,2017:4;2018:0;2019:0;2020:2;2021:3;2022:3;2023:16;2024:9;2025:7;2026:14,AEMET
0073X,SITGES,BARCELONA,58.0,41.2439,1.8525,0.5,litoral,<200,10,2017,2026,81,41.67,50.0,8.33,1.6182,-0.3171,3.5535,no,0.3173,0.8393,no,no,22.0,2017:41;2018:39;2019:45;2020:40;2021:33;2022:44;2023:47;2024:34;2025:56;2026:60,AEMET
3338,ROBLEDO DE CHAVELA,MADRID,770.0,40.4286,-4.2486,329.3,interior,500-800,9,2017,2026,81,15.67,24.0,8.33,1.7721,-0.8234,4.3675,no,0.2714,1.0974,no,no,30.0,2017:20;2018:7;2019:20;2020:15;2021:6;2022:36;2023:14;2025:25;2026:33,AEMET
5530E,GRANADA AEROPUERTO,GRANADA,560.0,37.1903,-3.7897,49.0,interior,500-800,10,2017,2026,81,3.33,11.67,8.33,1.1758,0.5699,1.7816,si,0.7146,0.2627,no,no,-6.0,2017:6;2018:0;2019:4;2020:8;2021:7;2022:7;2023:11;2024:8;2025:12;2026:15,AEMET
6000A,MELILLA,MELILLA,52.0,35.2764,-2.9564,0.5,litoral,<200,10,2017,2026,81,61.67,70.0,8.33,1.2848,-0.957,3.5267,no,0.1792,0.9722,no,no,21.0,2017:75;2018:55;2019:55;2020:63;2021:60;2022:71;2023:71;2024:56;2025:77;2026:77,AEMET
6042I,JIMENA DE LA FRONTERA,CADIZ,42.0,36.4356,-5.395,16.5,litoral,<200,10,2017,2026,81,4.67,13.0,8.33,1.1818,0.0866,2.277,si,0.4363,0.4749,no,si,16.0,2017:7;2018:2;2019:5;2020:11;2021:10;2022:12;2023:11;2024:11;2025:6;2026:22,AEMET
7121A,CALASPARRA,MURCIA,350.0,38.2342,-1.7022,81.4,interior,200-500,10,2017,2026,81,36.33,44.67,8.33,1.5515,-0.9181,4.0212,no,0.2078,1.071,no,no,18.0,2017:44;2018:33;2019:32;2020:21;2021:22;2022:29;2023:47;2024:40;2025:44;2026:50,AEMET
8175,ALBACETE BASE AÉREA,ALBACETE,702.0,38.9542,-1.8564,135.8,interior,500-800,10,2017,2026,81,9.33,17.67,8.33,1.2667,-0.1699,2.7032,no,0.3407,0.623,no,no,12.0,2017:17;2018:8;2019:3;2020:8;2021:9;2022:18;2023:19;2024:15;2025:13;2026:25,AEMET
8395X,CHELVA,VALENCIA,515.0,39.7533,-0.9936,62.8,interior,500-800,9,2017,2026,81,8.0,16.33,8.33,1.2941,-0.0793,2.6675,no,0.415,0.5807,no,no,10.0,2017:12;2018:6;2020:6;2021:6;2022:16;2023:21;2024:11;2025:21;2026:17,AEMET
B496X,SON SERVERA,BALEARES,25.0,39.6303,3.3836,1.4,litoral,<200,9,2017,2026,81,31.0,39.33,8.33,1.4919,-0.5915,3.5753,no,0.2907,0.8809,no,no,17.0,2017:35;2019:32;2020:26;2021:28;2022:40;2023:43;2024:31;2025:35;2026:52,AEMET
C329Z,SAN SEBASTIÁN DE LA GOMERA,SANTA CRUZ DE TENERIFE,15.0,28.0897,-17.1114,0.1,litoral,<200,10,2017,2026,81,67.67,76.0,8.33,0.7333,-1.3091,2.7757,no,0.0789,0.8857,si,si,-25.0,2017:81;2018:56;2019:66;2020:79;2021:71;2022:75;2023:77;2024:80;2025:79;2026:69,AEMET
C619Y,LA ALDEA DE SAN NICOLÁS,LAS PALMAS,13.0,28.0011,-15.8075,1.0,litoral,<200,10,2017,2026,81,52.67,61.0,8.33,1.0485,-0.8628,2.9598,no,0.1667,0.8288,no,no,18.0,2017:58;2018:48;2019:52;2020:67;2021:51;2022:69;2023:69;2024:63;2025:64;2026:56,AEMET
3516X,PIORNAL,CACERES,1260.0,40.1208,-5.8325,234.0,interior,>1200,10,2017,2026,81,4.33,12.33,8.0,0.9091,-0.0143,1.8324,no,0.3918,0.4004,no,no,-9.0,2017:7;2018:5;2019:1;2020:7;2021:6;2022:13;2023:4;2024:12;2025:15;2026:10,AEMET
5210X,VILLANUEVA DEL ARZOBISPO,JAEN,680.0,38.175,-2.9981,147.8,interior,500-800,9,2017,2026,81,33.0,41.0,8.0,1.1887,-1.1942,3.5716,no,0.1659,1.0076,no,no,18.0,2017:40;2019:23;2020:36;2021:24;2022:42;2023:35;2024:33;2025:50;2026:40,AEMET
7072Y,YESTE,ALBACETE,960.0,38.295,-2.2939,115.3,interior,800-1200,9,2017,2026,81,9.67,17.67,8.0,1.2568,-0.2059,2.7194,no,0.371,0.6184,no,no,-12.0,2017:15;2018:3;2019:11;2020:5;2022:7;2023:17;2024:16;2025:13;2026:24,AEMET
9171K,LOS ARCOS,NAVARRA,470.0,42.5703,-2.1839,80.0,interior,200-500,10,2017,2026,81,2.33,10.33,8.0,1.2,0.2102,2.1898,si,0.4942,0.4292,no,no,-9.0,2017:2;2018:0;2019:5;2020:3;2021:2;2022:10;2023:1;2024:6;2025:8;2026:17,AEMET
0385X,L'ESTARTIT,GIRONA,1.0,42.0539,3.2014,0.7,litoral,<200,9,2017,2026,81,49.0,56.67,7.67,1.2635,-0.2454,2.7724,no,0.3591,0.638,no,no,18.0,2017:51;2018:48;2019:48;2020:53;2022:61;2023:57;2024:45;2025:63;2026:62,AEMET
1060X,AMURRIO,ARABA/ALAVA,240.0,43.0503,-3.0056,34.6,interior,200-500,10,2017,2026,81,0.33,8.0,7.67,1.103,0.2628,1.9433,si,0.5339,0.3644,no,no,6.0,2017:0;2018:1;2019:0;2020:2;2021:0;2022:3;2023:0;2024:2;2025:8;2026:14,AEMET
2140A,ALDEANUEVA DE SERREZUELA,SEGOVIA,1135.0,41.4644,-3.7858,215.7,interior,800-1200,10,2017,2026,81,7.0,14.67,7.67,0.9879,-0.4188,2.3945,no,0.2469,0.61,no,no,-18.0,2017:10;2018:4;2019:7;2020:7;2021:5;2022:22;2023:4;2024:14;2025:16;2026:14,AEMET
2465,SEGOVIA,SEGOVIA,1008.0,40.9453,-4.1264,271.9,interior,800-1200,10,2017,2026,81,6.67,14.33,7.67,1.0545,-0.5757,2.6848,no,0.2176,0.707,no,no,-20.0,2017:10;2018:2;2019:8;2020:9;2021:4;2022:23;2023:3;2024:9;2025:17;2026:17,AEMET
3422D,CANDELEDA,AVILA,350.0,40.1392,-5.3114,257.8,interior,200-500,10,2017,2026,81,10.0,17.67,7.67,0.8121,-0.6845,2.3087,no,0.1637,0.649,no,no,15.0,2017:15;2018:8;2019:7;2020:13;2021:4;2022:19;2023:7;2024:17;2025:23;2026:13,AEMET
4511C,JEREZ DE LOS CABALLEROS,BADAJOZ,381.0,38.2986,-6.765,20.3,litoral,200-500,9,2018,2026,81,9.67,17.33,7.67,1.7,-0.3074,3.7074,no,0.3643,0.8488,no,no,18.0,2018:6;2019:5;2020:18;2021:5;2022:23;2023:20;2024:11;2025:24;2026:17,AEMET
7203A,"LORCA, ZARCILLA DE RAMOS",MURCIA,646.0,37.8447,-1.8697,53.2,interior,500-800,10,2017,2026,81,10.33,18.0,7.67,1.2667,-0.0171,2.5504,no,0.3929,0.5567,no,no,12.0,2017:14;2018:8;2019:9;2020:7;2021:17;2022:9;2023:21;2024:14;2025:14;2026:26,AEMET
8072Y,BARX,VALENCIA,340.0,39.0169,-0.3047,9.8,litoral,200-500,9,2017,2026,81,21.67,29.33,7.67,1.5458,-0.5609,3.6526,no,0.3008,0.8908,no,si,-22.0,2017:22;2018:23;2019:20;2021:14;2022:26;2023:43;2024:21;2025:32;2026:35,AEMET
9145Y,CENICERO,LA RIOJA,429.0,42.4828,-2.6394,93.5,interior,200-500,10,2017,2026,81,4.0,11.67,7.67,1.2242,-0.0652,2.5137,no,0.3747,0.5592,no,si,17.0,2017:4;2018:2;2019:6;2020:3;2021:0;2022:6;2023:4;2024:8;2025:5;2026:22,AEMET
B334X,LLUCMAJOR,BALEARES,140.0,39.4956,2.8917,13.2,litoral,<200,10,2017,2026,81,41.33,49.0,7.67,1.5455,-0.2494,3.3403,no,0.3301,0.7784,no,no,15.0,2017:45;2018:34;2019:45;2020:36;2021:40;2022:55;2023:49;2024:40;2025:47;2026:60,AEMET
B860X,CIUTADELLA,BALEARES,20.0,39.9928,3.8539,2.1,litoral,<200,10,2017,2026,81,48.33,56.0,7.67,1.5818,-0.1129,3.2765,no,0.3667,0.7349,no,no,16.0,2017:49;2018:48;2019:48;2020:39;2021:47;2022:63;2023:57;2024:47;2025:58;2026:63,AEMET
C319W,"VALLEHERMOSO, DAMA",SANTA CRUZ DE TENERIFE,190.0,28.0542,-17.3064,0.9,litoral,<200,10,2017,2026,81,11.33,19.0,7.67,1.3636,-1.034,3.7613,no,0.177,1.0397,no,no,-27.0,2017:22;2018:6;2019:6;2020:13;2021:13;2022:16;2023:38;2024:11;2025:26;2026:20,AEMET
C449C,STA.CRUZ DE TENERIFE,SANTA CRUZ DE TENERIFE,36.0,28.4633,-16.2553,0.6,litoral,<200,10,2017,2026,81,63.0,70.67,7.67,0.8364,-1.5007,3.1734,no,0.0785,1.0135,no,no,-27.0,2017:75;2018:48;2019:66;2020:77;2021:64;2022:71;2023:79;2024:74;2025:73;2026:65,AEMET
0016A,REUS AEROPUERTO,TARRAGONA,71.0,41.145,1.1636,6.8,litoral,<200,10,2017,2026,81,44.0,51.33,7.33,1.497,-1.4271,4.4211,no,0.1484,1.268,no,no,21.0,2017:48;2018:46;2019:38;2020:30;2021:22;2022:40;2023:45;2024:36;2025:57;2026:61,AEMET
1083L,CASTRO URDIALES,CANTABRIA,45.0,43.3947,-3.2339,0.6,litoral,<200,8,2017,2026,81,2.67,10.0,7.33,1.5084,0.297,2.7198,si,0.6074,0.4951,no,no,14.0,2017:1;2018:2;2019:5;2020:8;2021:1;2022:8;2023:4;2026:18,AEMET
2512Y,RIVILLA DE BARAJAS,AVILA,925.0,40.8822,-5.0186,280.8,interior,800-1200,10,2017,2026,81,2.0,9.33,7.33,0.9515,-0.0211,1.9241,no,0.3888,0.4218,no,no,11.0,2017:2;2018:3;2019:1;2020:4;2021:3;2022:10;2023:2;2024:5;2025:16;2026:7,AEMET
3547X,VALVERDE DEL FRESNO,CACERES,450.0,40.2072,-6.8961,222.2,interior,200-500,10,2017,2026,81,20.67,28.0,7.33,0.8909,-0.4968,2.2786,no,0.215,0.6018,no,no,-14.0,2017:29;2018:15;2019:18;2020:24;2021:14;2022:24;2023:27;2024:28;2025:30;2026:26,AEMET
7211B,PUERTO LUMBRERAS,MURCIA,445.0,37.5681,-1.7972,25.1,litoral,200-500,10,2017,2026,81,54.0,61.33,7.33,1.6121,-0.9863,4.2105,no,0.2037,1.1268,no,no,24.0,2017:59;2018:50;2019:53;2020:43;2021:34;2022:58;2023:63;2024:49;2025:66;2026:69,AEMET
9808X,"AÍNSA-SOBRARBE, LA SERRETA",HUESCA,610.0,42.4217,0.1381,127.6,interior,500-800,9,2018,2026,81,2.0,9.33,7.33,1.45,-0.1931,3.0931,no,0.3836,0.6948,no,si,20.0,2018:1;2019:1;2020:4;2021:3;2022:10;2023:6;2024:6;2025:1;2026:21,AEMET
C019V,YAIZA PLAYA BLANCA,LAS PALMAS,6.0,28.8589,-13.835,0.5,litoral,<200,10,2017,2026,81,51.33,58.67,7.33,1.0545,-2.2971,4.4062,no,0.0617,1.4534,no,no,-30.0,2017:66;2018:39;2019:49;2020:72;2021:42;2022:59;2023:77;2024:49;2025:67;2026:60,AEMET
C129V,FUENCALIENTE,SANTA CRUZ DE TENERIFE,19.0,28.455,-17.8411,0.6,litoral,<200,10,2017,2026,81,58.67,66.0,7.33,0.8,-1.0544,2.6544,no,0.1101,0.8042,no,no,15.0,2017:64;2018:52;2019:60;2020:73;2021:60;2022:60;2023:75;2024:69;2025:70;2026:59,AEMET
C625O,"SAN BARTOLOME TIRAJANA, LOMO PEDRO ALFONSO",LAS PALMAS,806.0,27.8569,-15.645,10.5,litoral,800-1200,10,2017,2026,81,26.67,34.0,7.33,0.6606,-1.0237,2.3449,no,0.0928,0.7304,no,no,16.0,2017:35;2018:20;2019:25;2020:41;2021:28;2022:40;2023:32;2024:37;2025:33;2026:32,AEMET
0222X,CALDES DE MONTBUI,BARCELONA,175.0,41.6128,2.1683,18.0,litoral,<200,10,2017,2026,81,11.67,18.67,7.0,1.3818,-0.221,2.9847,no,0.3307,0.6951,no,no,17.0,2017:13;2018:11;2019:11;2020:11;2021:5;2022:17;2023:22;2024:11;2025:14;2026:31,AEMET
1690A,OURENSE,OURENSE,146.0,42.3253,-7.8597,34.8,interior,<200,10,2017,2026,81,1.67,8.67,7.0,0.9879,0.2034,1.7724,si,0.5131,0.3402,no,no,8.0,2017:3;2018:2;2019:0;2020:0;2021:0;2022:6;2023:4;2024:10;2025:4;2026:12,AEMET
3330Y,ROZAS DE PUERTO REAL,MADRID,890.0,40.3131,-4.4872,316.8,interior,800-1200,10,2017,2026,81,6.33,13.33,7.0,0.9697,0.2978,1.6416,si,0.5807,0.2914,no,si,10.0,2017:7;2018:5;2019:7;2020:8;2021:6;2022:16;2023:9;2024:13;2025:14;2026:13,AEMET
4427X,ZAFRA,BADAJOZ,433.0,38.4258,-6.4367,52.1,interior,200-500,10,2017,2026,81,8.33,15.33,7.0,0.9212,-0.3967,2.2392,no,0.2451,0.5715,no,no,15.0,2017:12;2018:7;2019:6;2020:14;2021:5;2022:20;2023:12;2024:10;2025:22;2026:14,AEMET
4468X,PUEBLA DE OBANDO,BADAJOZ,392.0,39.1767,-6.6008,112.2,interior,200-500,10,2017,2026,81,11.33,18.33,7.0,0.6667,-1.0292,2.3625,no,0.0932,0.7354,no,no,17.0,2017:20;2018:11;2019:3;2020:20;2021:5;2022:16;2023:18;2024:18;2025:23;2026:14,AEMET
5060X,VÉLEZ BLANCO - TOPARES,ALMERIA,1190.0,37.8608,-2.2281,74.0,interior,800-1200,10,2017,2026,81,3.0,10.0,7.0,1.0242,0.1805,1.868,si,0.4948,0.3659,no,no,9.0,2017:6;2018:0;2019:3;2020:5;2021:8;2022:4;2023:13;2024:10;2025:6;2026:14,AEMET
6175X,RINCÓN DE LA VICTORIA,MALAGA,7.0,36.715,-4.2861,0.7,litoral,<200,9,2017,2026,81,61.0,68.0,7.0,1.329,-0.8848,3.5429,no,0.2236,0.9361,no,si,25.0,2017:67;2018:57;2019:59;2020:58;2021:55;2022:62;2023:67;2024:56;2026:81,AEMET
8096,CUENCA,CUENCA,949.0,40.0672,-2.1319,165.9,interior,800-1200,10,2017,2026,81,9.67,16.67,7.0,1.0,-0.5712,2.5712,no,0.2121,0.6814,no,no,17.0,2017:15;2018:3;2019:11;2020:9;2021:7;2022:24;2023:12;2024:20;2025:10;2026:20,AEMET
B278,"PALMA DE MALLORCA, AEROPUERTO",BALEARES,5.0,39.5608,2.7367,3.3,litoral,<200,10,2017,2026,81,34.33,41.33,7.0,1.4424,-0.194,3.0788,no,0.3406,0.7096,no,no,-14.0,2017:37;2018:30;2019:36;2020:22;2021:28;2022:37;2023:46;2024:39;2025:40;2026:45,AEMET
B800X,"LA MOLA, MAÓ",BALEARES,78.0,39.8761,4.3239,1.3,litoral,<200,10,2017,2026,81,54.67,61.67,7.0,1.1758,0.1154,2.2361,si,0.4497,0.4598,no,no,12.0,2017:58;2018:51;2019:55;2020:53;2021:59;2022:63;2023:64;2024:55;2025:67;2026:63,AEMET
B954,"IBIZA, AEROPUERTO",BALEARES,6.0,38.8764,1.3844,1.4,litoral,<200,10,2017,2026,81,53.33,60.33,7.0,1.2364,0.1671,2.3056,si,0.4706,0.4637,no,no,11.0,2017:55;2018:51;2019:54;2020:51;2021:53;2022:52;2023:63;2024:53;2025:63;2026:65,AEMET
B957,EIVISSA,BALEARES,3.0,38.9225,1.4414,0.3,litoral,<200,10,2017,2026,81,47.33,54.33,7.0,1.4667,-0.0141,2.9474,no,0.3947,0.6421,no,no,-11.0,2017:48;2018:43;2019:51;2020:40;2021:42;2022:49;2023:56;2024:46;2025:54;2026:63,AEMET
3260B,TOLEDO,TOLEDO,513.0,39.8847,-4.0453,313.8,interior,500-800,10,2017,2026,81,37.67,44.33,6.67,1.2545,-0.7499,3.259,no,0.2066,0.8692,no,si,25.0,2017:42;2018:31;2019:40;2020:37;2021:22;2022:47;2023:43;2024:37;2025:45;2026:51,AEMET
4260,PERALEDA DEL ZAUCEJO,BADAJOZ,542.0,38.4797,-5.5775,124.5,interior,500-800,10,2017,2026,81,4.67,11.33,6.67,0.8606,-0.3346,2.0558,no,0.2563,0.5183,no,no,-13.0,2017:7;2018:1;2019:6;2020:18;2021:5;2022:10;2023:13;2024:9;2025:9;2026:16,AEMET
9252X,OLITE/ERRIBERRI,NAVARRA,390.0,42.4892,-1.6556,90.2,interior,200-500,10,2017,2026,81,3.0,9.67,6.67,1.0788,-0.022,2.1796,no,0.3897,0.4773,no,si,13.0,2017:1;2018:5;2019:3;2020:0;2021:0;2022:4;2023:2;2024:6;2025:5;2026:18,AEMET
9427X,LA ALMUNIA DE DOÑA GODINA,ZARAGOZA,370.0,41.4811,-1.3808,190.1,interior,200-500,10,2017,2026,81,7.33,14.0,6.67,1.2485,-0.2072,2.7042,no,0.3284,0.6313,no,no,17.0,2017:8;2018:5;2019:9;2020:2;2021:2;2022:19;2023:11;2024:12;2025:8;2026:22,AEMET
9495Y,LECIÑENA,ZARAGOZA,405.0,41.7967,-0.6172,155.1,interior,200-500,10,2017,2026,81,10.33,17.0,6.67,1.2242,-0.2174,2.6659,no,0.324,0.6252,no,no,17.0,2017:11;2018:6;2019:14;2020:10;2021:5;2022:22;2023:13;2024:11;2025:14;2026:26,AEMET
9975X,RASQUERA,TARRAGONA,112.0,41.005,0.6136,20.2,litoral,<200,8,2017,2026,81,33.33,40.0,6.67,1.0695,-1.1524,3.2915,no,0.1878,0.908,no,si,21.0,2017:37;2018:36;2020:27;2021:21;2023:42;2024:34;2025:40;2026:46,AEMET
B410B,SANTANYÍ,BALEARES,45.0,39.34,3.1458,1.2,litoral,<200,9,2017,2026,81,50.67,57.33,6.67,1.1958,-0.2746,2.6663,no,0.3457,0.6218,no,no,16.0,2017:53;2018:47;2019:52;2021:48;2022:64;2023:58;2024:50;2025:58;2026:64,AEMET
B662X,BINISSALEM,BALEARES,105.0,39.6781,2.8739,19.1,litoral,<200,10,2017,2026,81,22.0,28.67,6.67,1.4606,-0.2857,3.2069,no,0.3174,0.7573,no,no,14.0,2017:25;2018:20;2019:21;2020:13;2021:21;2022:33;2023:36;2024:24;2025:24;2026:38,AEMET
