indicativo,mes,tm_mes,tm_max,tm_min,ta_max,ta_min,p_mes,p_max,hr,n_llu,n_nie,n_tor
B614E,02,,,,,,,,,,,
B614E,03,,,,,,,,,,,
B614E,04,,,,,,,,,,,
B614E,05,,,,,,,,,,,
B614E,06,,,,,,,,,,,
B614E,07,,,,,,,,,,,
B614E,08,,,,,,,,,,,
B614E,09,,,,,,,,,,,
B614E,10,,,,,,,,,,,
B614E,11,,,,,,,,,,,
B614E,12,,,,,,,,,,,
B614E,13,,,,,,,,,,,
B640X,01,,,,,,,,,,,
B640X,02,,,,,,,,,,,
B640X,03,,,,,,,,,,,
B640X,04,,,,,,,,,,,
B640X,05,,,,,,,,,,,
B640X,06,,,,,,,,,,,
B640X,07,,,,,,,,,,,
B640X,08,,,,,,,,,,,
B640X,09,,,,,,,,,,,
B640X,10,,,,,,,,,,,
B640X,11,,,,,,,,,,,
B640X,12,,,,,,,,,,,
B640X,13,,,,,,,,,,,
B644B,01,,,,,,,,,,,
B644B,02,,,,,,,,,,,
B644B,03,,,,,,,,,,,
B644B,04,,,,,,,,,,,
B644B,05,,,,,,,,,,,
B644B,06,,,,,,,,,,,
B644B,07,,,,,,,,,,,
B644B,08,,,,,,,,,,,
B644B,09,,,,,,,,,,,
B644B,10,,,,,,,,,,,
B644B,11,,,,,,,,,,,
B644B,12,,,,,,,,,,,
B644B,13,,,,,,,,,,,
B656A,01,,,,,,,,,,,
B656A,02,,,,,,,,,,,
B656A,03,,,,,,,,,,,
B656A,04,,,,,,,,,,,
B656A,05,,,,,,,,,,,
B656A,06,,,,,,,,,,,
B656A,07,,,,,,,,,,,
B656A,08,,,,,,,,,,,
B656A,09,,,,,,,,,,,
B656A,10,,,,,,,,,,,
B656A,11,,,,,,,,,,,
B656A,12,,,,,,,,,,,
B656A,13,,,,,,,,,,,
B662X,01,,,,,,,,,,,
B662X,02,,,,,,,,,,,
B662X,03,,,,,,,,,,,
B662X,04,,,,,,,,,,,
B662X,05,,,,,,,,,,,
B662X,06,,,,,,,,,,,
B662X,07,,,,,,,,,,,
B662X,08,,,,,,,,,,,
B662X,09,,,,,,,,,,,
B662X,10,,,,,,,,,,,
B662X,11,,,,,,,,,,,
B662X,12,,,,,,,,,,,
B662X,13,,,,,,,,,,,
B684A,01,,,,,,,,,,,
B684A,02,,,,,,,,,,,
B684A,03,,,,,,,,,,,
B684A,04,,,,,,,,,,,
B684A,05,,,,,,,,,,,
B684A,06,,,,,,,,,,,
B684A,07,,,,,,,,,,,
B684A,08,,,,,,,,,,,
B684A,09,,,,,,,,,,,
B684A,10,,,,,,,,,,,
B684A,11,,,,,,,,,,,
B684A,12,,,,,,,,,,,
B684A,13,,,,,,,,,,,
B691,01,,,,,,,,,,,
B691,02,,,,,,,,,,,
B691,03,,,,,,,,,,,
B691,04,,,,,,,,,,,
B691,05,,,,,,,,,,,
B691,06,,,,,,,,,,,
B691,07,,,,,,,,,,,
B691,08,,,,,,,,,,,
B691,09,,,,,,,,,,,
B691,10,,,,,,,,,,,
B691,11,,,,,,,,,,,
B691,12,,,,,,,,,,,
B691,13,,,,,,,,,,,
B691Y,01,,,,,,,,,,,
B691Y,02,,,,,,,,,,,
B691Y,03,,,,,,,,,,,
B691Y,04,,,,,,,,,,,
B691Y,05,,,,,,,,,,,
B691Y,06,,,,,,,,,,,
B691Y,07,,,,,,,,,,,
B691Y,08,,,,,,,,,,,
B691Y,09,,,,,,,,,,,
B691Y,10,,,,,,,,,,,
B691Y,11,,,,,,,,,,,
B691Y,12,,,,,,,,,,,
B691Y,13,,,,,,,,,,,
B760X,01,,,,,,,,,,,
B760X,02,,,,,,,,,,,
B760X,03,,,,,,,,,,,
B760X,04,,,,,,,,,,,
B760X,05,,,,,,,,,,,
B760X,06,,,,,,,,,,,
B760X,07,,,,,,,,,,,
B760X,08,,,,,,,,,,,
B760X,09,,,,,,,,,,,
B760X,10,,,,,,,,,,,
B760X,11,,,,,,,,,,,
B760X,12,,,,,,,,,,,
B760X,13,,,,,,,,,,,
B780X,01,,,,,,,,,,,
B780X,02,,,,,,,,,,,
B780X,03,,,,,,,,,,,
B780X,04,,,,,,,,,,,
B780X,05,,,,,,,,,,,
B780X,06,,,,,,,,,,,
B780X,07,,,,,,,,,,,
B780X,08,,,,,,,,,,,
B780X,09,,,,,,,,,,,
B780X,10,,,,,,,,,,,
B780X,11,,,,,,,,,,,
B780X,12,,,,,,,,,,,
B780X,13,,,,,,,,,,,
B800X,01,,,,,,,,,,,
B800X,02,,,,,,,,,,,
B800X,03,,,,,,,,,,,
B800X,04,,,,,,,,,,,
B800X,05,,,,,,,,,,,
B800X,06,,,,,,,,,,,
B800X,07,,,,,,,,,,,
B800X,08,,,,,,,,,,,
B800X,09,,,,,,,,,,,
B800X,10,,,,,,,,,,,
B800X,11,,,,,,,,,,,
B800X,12,,,,,,,,,,,
B800X,13,,,,,,,,,,,
B825B,01,,,,,,,,,,,
B825B,02,,,,,,,,,,,
B825B,03,,,,,,,,,,,
B825B,04,,,,,,,,,,,
B825B,05,,,,,,,,,,,
B825B,06,,,,,,,,,,,
