indicativo,nombre,provincia,altitud,temporadas,calefaccion_mediana,calefaccion_peor,calefaccion_peor_temporada,calefaccion_mejor,calefaccion_ultima,terraza_mediana,terraza_peor,terraza_mejor,racha_sin_terraza_max,racha_terraza_max,heladas_mediana,heladas_peor,temporadas_sin_helada,racha_heladas_max,lluvia_mediana,tmin_p05_peor,tmin_min,tmin_min_fecha,calefaccion_fuera_nucleo,calefaccion_total
5429X,"CÓRDOBA, PRÁGDENA",CORDOBA,275,9,129.0,135,2017-18,110,130,66.0,35,75,64,24,8.0,13,0,6,34.0,-0.8,-2.9,2021-01-03,401,1142
5459X,ESPIEL,CORDOBA,465,9,140.0,144,2018-19,124,140,52.0,31,62,64,13,29.0,40,0,16,32.0,-5.0,-6.0,2023-02-01,473,1238
5470,FUENTE PALMERA,CORDOBA,120,9,113.0,132,2017-18,106,111,70.0,46,84,52,25,2.0,14,3,5,32.0,-0.6,-3.0,2021-01-03,333,1033
5473X,AZUAGA,BADAJOZ,581,9,134.0,147,2018-19,126,134,33.0,19,47,70,13,4.0,17,0,10,31.0,-1.8,-3.7,2021-01-12,453,1221
5514,GRANADA BASE AÉREA,GRANADA,687,9,146.0,150,2018-19,141,146,58.0,31,61,51,22,28.0,45,0,20,29.0,-3.8,-6.2,2021-01-04,518,1316
5515D,VÍZNAR,GRANADA,1258,8,125.0,138,2017-18,117,135,13.5,1,30,42,10,17.5,32,0,10,30.5,-3.5,-5.3,2021-01-03,385,1013
5515X,GRANADA-CARTUJA,GRANADA,775,9,141.0,150,2018-19,134,143,69.0,39,84,51,25,6.0,20,0,9,28.0,-1.3,-3.5,2026-01-07,480,1273
5516D,SIERRA NEVADA 'RADIOTELESCOPIO',GRANADA,2856,5,146.0,151,2022-23,139,139,0.0,0,0,151,0,111.0,129,0,61,0.0,-12.9,-16.0,2026-01-06,292,731
5530E,GRANADA AEROPUERTO,GRANADA,560,9,146.0,151,2018-19,142,143,63.0,43,68,50,22,36.0,66,0,21,29.0,-5.5,-6.9,2019-01-12,520,1315
5582A,LOJA,GRANADA,760,6,131.5,144,2017-18,118,134,56.5,37,63,50,13,7.5,18,1,7,27.0,-1.6,-3.4,2018-02-09,276,787
5598X,BENAMEJÍ,CORDOBA,465,9,127.0,140,2018-19,109,127,52.0,28,66,55,15,1.0,7,4,3,35.0,0.1,-1.7,2026-01-07,390,1135
5612B,LA RODA DE ANDALUCÍA,SEVILLA,410,9,133.0,140,2018-19,108,108,57.0,34,86,35,24,14.0,28,0,11,34.0,-3.0,-4.6,2023-01-29,419,1158
5612X,LORA DE ESTEPA,SEVILLA,450,9,115.0,132,2018-19,101,115,47.0,27,62,58,15,2.0,9,4,5,40.0,-0.3,-2.4,2021-01-03,357,1046
5624X,AGUILAR DE LA FRONTERA,CORDOBA,309,9,130.0,137,2018-19,115,130,64.0,33,74,64,22,4.0,15,0,6,34.0,-1.1,-3.5,2021-01-03,401,1142
5625X,LA RAMBLA,CORDOBA,200,9,130.0,140,2018-19,122,130,69.0,39,83,32,25,10.0,21,0,14,31.0,-2.1,-4.8,2021-01-03,416,1168
5641X,ÉCIJA,SEVILLA,130,9,113.0,133,2018-19,90,117,81.0,45,102,33,37,5.0,15,0,10,30.0,-1.2,-3.5,2018-02-09,328,1017
5654X,LA PUEBLA DE LOS INFANTES,SEVILLA,200,9,138.0,142,2018-19,126,138,67.0,50,73,52,25,27.0,56,0,19,29.0,-4.7,-6.0,2018-02-09,478,1232
5656,FUENTES DE ANDALUCÍA,SEVILLA,165,9,104.0,128,2017-18,95,112,70.0,44,82,64,25,0.0,2,6,2,31.0,0.7,-0.8,2023-01-29,311,991
5702X,CARMONA,SEVILLA,50,9,105.0,127,2018-19,100,110,85.0,64,101,43,27,2.0,11,3,4,30.0,-0.5,-2.3,2021-01-03,321,988
5704B,CAZALLA DE LA SIERRA,SEVILLA,550,9,142.0,145,2025-26,133,145,46.0,32,56,96,13,15.0,25,0,10,33.0,-3.0,-4.8,2021-01-03,486,1259
5726X,GUADALCANAL,SEVILLA,720,9,136.0,145,2017-18,106,139,32.0,15,37,100,13,1.0,11,4,5,34.0,-0.6,-2.4,2023-02-28,449,1192
5733X,ALMADÉN DE LA PLATA,SEVILLA,450,9,120.0,134,2021-22,113,133,52.0,40,60,90,17,0.0,4,5,2,30.0,0.7,-1.7,2021-01-12,389,1116
5769X,CALA,HUELVA,618,9,143.0,147,2018-19,127,143,34.0,18,46,100,13,4.0,17,2,7,40.0,-0.8,-4.6,2021-01-12,467,1245
5783,SEVILLA AEROPUERTO,SEVILLA,34,9,99.0,121,2017-18,87,99,89.0,70,99,32,55,0.0,4,6,2,26.0,0.4,-1.5,2021-01-03,279,932
5788X,"TOMARES, ZAUDÍN",SEVILLA,84,7,91.0,110,2021-22,88,96,88.0,67,89,52,28,0.0,1,6,1,30.0,2.0,-0.1,2021-01-04,184,661
5790Y,"SEVILLA, TABLADA",SEVILLA,9,9,98.0,117,2017-18,87,97,110.0,74,116,22,55,0.0,4,5,2,27.0,0.8,-1.6,2021-01-03,253,902
5796,MORÓN DE LA FRONTERA,SEVILLA,87,9,112.0,128,2018-19,96,112,89.0,47,112,59,28,1.0,8,2,3,32.0,-0.1,-2.9,2018-02-09,315,1005
5835X,CARRIÓN DE LOS CÉSPEDES,SEVILLA,76,9,112.0,130,2018-19,102,112,89.0,71,104,52,33,1.0,11,4,5,30.0,-0.6,-2.7,2018-02-07,334,1022
5858X,ALMONTE,HUELVA,5,9,117.0,129,2018-19,95,105,96.0,75,118,27,48,4.0,16,1,5,30.0,-1.1,-4.4,2025-01-16,344,1042
5860E,"MOGUER, EL ARENOSILLO",HUELVA,41,9,93.0,110,2018-19,78,97,81.0,56,101,25,31,0.0,1,7,1,24.0,2.2,-0.9,2025-01-16,234,826
5891X,LAS CABEZAS DE SAN JUAN,SEVILLA,105,9,105.0,124,2018-19,87,109,86.0,48,98,34,31,1.0,4,4,2,31.0,0.8,-1.9,2018-02-09,298,951
5906X,CHIPIONA,CADIZ,10,9,77.0,96,2021-22,67,78,82.0,48,99,28,29,0.0,1,8,1,28.0,2.5,-0.2,2023-01-26,180,722
