indicativo,nombre,provincia,altitud,temporadas,calefaccion_mediana,calefaccion_peor,calefaccion_peor_temporada,calefaccion_mejor,calefaccion_ultima,terraza_mediana,terraza_peor,terraza_mejor,racha_sin_terraza_max,racha_terraza_max,heladas_mediana,heladas_peor,temporadas_sin_helada,racha_heladas_max,lluvia_mediana,tmin_p05_peor,tmin_min,tmin_min_fecha,calefaccion_fuera_nucleo,calefaccion_total
B986,FORMENTERA,BALEARES,24,9,64.0,97,2018-19,55,55,78.0,52,108,32,33,0.0,0,9,0,23.0,3.0,0.5,2019-01-12,148,614
C018J,TÍAS,LAS PALMAS,376,9,3.0,7,2017-18,0,3,121.0,84,147,20,91,0.0,0,9,0,18.0,10.0,6.8,2018-02-08,6,30
C019V,YAIZA PLAYA BLANCA,LAS PALMAS,6,9,0.0,0,2017-18,0,0,150.0,143,151,4,151,0.0,0,9,0,7.0,11.4,10.0,2018-01-30,0,0
C029O,LANZAROTE AEROPUERTO,LAS PALMAS,14,9,0.0,4,2017-18,0,0,150.0,147,152,2,152,0.0,0,9,0,9.0,11.2,7.6,2018-02-07,1,5
C038N,HARÍA,LAS PALMAS,277,9,5.0,11,2017-18,0,3,122.0,92,148,22,90,0.0,0,9,0,14.0,9.5,7.9,2023-02-16,3,44
C048W,TINAJO,LAS PALMAS,275,9,3.0,12,2017-18,0,3,114.0,92,146,20,74,0.0,0,9,0,13.0,9.4,7.6,2018-02-08,2,39
C101A,ROQUE DE LOS MUCHACHOS,SANTA CRUZ DE TENERIFE,2223,7,144.0,147,2021-22,132,147,3.0,0,14,151,5,22.0,26,0,11,30.0,-2.7,-4.1,2021-01-11,370,988
C117A,PUNTAGORDA,STA. CRUZ DE TENERIFE,684,9,48.0,64,2025-26,4,64,69.0,48,124,55,38,0.0,0,9,0,29.0,8.0,5.5,2021-02-05,139,401
C117Z,TIJARAFE,STA. CRUZ DE TENERIFE,733,9,23.0,44,2017-18,2,38,72.0,56,121,47,28,0.0,0,9,0,19.0,8.6,5.5,2021-02-05,86,236
C126A,EL PASO,STA. CRUZ DE TENERIFE,844,9,89.0,115,2025-26,75,115,71.0,27,110,56,23,0.0,0,9,0,29.0,4.6,2.2,2026-01-26,296,852
C129V,FUENCALIENTE,STA. CRUZ DE TENERIFE,19,9,0.0,0,2017-18,0,0,150.0,147,152,1,152,0.0,0,9,0,20.0,14.4,11.8,2021-02-05,0,0
C129Z,TAZACORTE,SANTA CRUZ DE TENERIFE,62,8,0.0,0,2017-18,0,0,150.0,133,151,1,147,0.0,0,8,0,8.5,13.9,11.2,2021-02-05,0,0
C139E,LA PALMA AEROPUERTO,SANTA CRUZ DE TENERIFE,33,9,0.0,0,2017-18,0,0,150.0,147,152,1,152,0.0,0,9,0,30.0,13.9,11.0,2021-02-05,0,0
C148F,SAN ANDRÉS Y SAUCES,STA. CRUZ DE TENERIFE,362,8,0.0,2,2020-21,0,2,104.0,87,138,23,38,0.0,0,8,0,51.0,10.9,8.2,2021-02-05,2,5
C229J,PÁJARA,LAS PALMAS,15,9,0.0,0,2017-18,0,0,149.0,135,152,2,152,0.0,0,9,0,7.0,13.1,10.2,2018-02-08,0,0
C239N,"TUINEJE,PUERTO GRAN TARAJAL",LAS PALMAS,1,9,1.0,4,2019-20,0,0,151.0,145,152,2,152,0.0,0,9,0,6.0,11.1,9.0,2018-01-31,0,10
C248E,ANTIGUA,LAS PALMAS,252,9,6.0,14,2017-18,1,9,141.0,99,152,5,152,0.0,0,9,0,11.0,8.6,7.3,2018-01-29,8,60
C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,9,0.0,1,2017-18,0,0,150.0,145,152,1,152,0.0,0,9,0,7.0,12.5,9.5,2018-02-08,0,1
C258K,LA OLIVA,LAS PALMAS,217,9,4.0,12,2017-18,1,9,141.0,118,152,15,152,0.0,0,9,0,12.0,9.2,7.6,2020-01-22,6,53
C314Z,"VALLEHERMOSO, ALTO IGUALERO  ",STA. CRUZ DE TENERIFE,1474,8,111.5,131,2021-22,87,113,19.0,10,46,76,14,0.0,0,8,0,35.5,2.5,0.9,2026-03-03,354,891
C316I,ARURE,STA. CRUZ DE TENERIFE,916,8,76.5,92,2025-26,34,92,53.0,37,88,56,19,0.0,0,8,0,42.0,7.2,4.7,2021-02-05,209,573
C317B,AGULO,STA. CRUZ DE TENERIFE,765,9,39.0,58,2025-26,7,58,70.0,44,115,34,38,0.0,0,9,0,32.0,8.3,6.2,2021-02-05,108,336
C319W,"VALLEHERMOSO, DAMA",STA. CRUZ DE TENERIFE,190,9,0.0,2,2017-18,0,0,151.0,148,152,1,152,0.0,0,9,0,14.0,11.1,9.6,2018-02-14,0,3
C328W,HERMIGUA,STA. CRUZ DE TENERIFE,252,9,4.0,14,2018-19,0,4,136.0,105,151,19,121,0.0,0,9,0,23.0,9.3,8.2,2019-02-09,3,37
C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,9,0.0,0,2017-18,0,0,150.0,146,152,1,152,0.0,0,9,0,12.0,13.4,10.8,2021-02-05,0,0
C329Z,SAN SEBASTIÁN DE LA GOMERA,STA. CRUZ DE TENERIFE,15,8,0.0,0,2017-18,0,0,150.5,148,152,1,152,0.0,0,8,0,14.5,14.2,12.1,2021-02-05,0,0
C406G,"LA OROTAVA, CAÑADAS TEIDE",STA. CRUZ DE TENERIFE,2150,9,145.0,151,2018-19,128,139,26.0,11,54,117,12,33.0,55,0,25,10.0,-4.0,-8.5,2020-01-22,521,1276
C419L,LOMO DEL BALO,SANTA CRUZ DE TENERIFE,403,8,0.0,2,2021-22,0,0,144.5,133,152,4,152,0.0,0,8,0,10.5,11.1,9.2,2022-03-15,2,3
C419X,ADEJE,STA. CRUZ DE TENERIFE,130,9,0.0,1,2025-26,0,1,151.0,150,152,1,152,0.0,0,9,0,9.0,12.1,8.6,2025-12-13,0,1
C428T,ARICO,STA. CRUZ DE TENERIFE,418,9,0.0,6,2017-18,0,1,139.0,125,150,5,100,0.0,0,9,0,11.0,10.0,9.3,2018-02-08,1,10
C429I,TENERIFE SUR AEROPUERTO,SANTA CRUZ DE TENERIFE,64,9,0.0,0,2017-18,0,0,151.0,148,152,1,152,0.0,0,9,0,7.0,12.4,10.3,2025-02-10,0,0
C430E,IZAÑA,SANTA CRUZ DE TENERIFE,2369,9,150.0,151,2017-18,145,145,1.0,0,4,151,3,38.0,46,0,19,17.0,-4.2,-6.3,2018-01-30,530,1339
C438N,CANDELARIA,STA. CRUZ DE TENERIFE,463,9,10.0,26,2017-18,0,18,121.0,96,147,13,79,0.0,0,9,0,16.0,9.1,8.0,2018-03-23,32,112
C439J,GÜÍMAR,SANTA CRUZ DE TENERIFE,115,9,0.0,1,2017-18,0,0,150.0,147,152,1,152,0.0,0,9,0,12.0,11.2,9.7,2018-01-30,0,1
C446G,"SAN CRISTÓBAL DE LA LAGUNA,LLANO DE LOS LOROS",STA. CRUZ DE TENERIFE,868,9,90.0,97,2018-19,46,85,67.0,44,98,37,24,0.0,0,9,0,53.0,6.3,4.0,2021-02-05,239,736
C447A,TENERIFE NORTE AEROPUERTO,SANTA CRUZ DE TENERIFE,632,9,30.0,44,2025-26,3,44,65.0,52,110,38,38,0.0,0,9,0,36.0,8.0,4.5,2026-02-21,75,273
C449C,STA.CRUZ DE TENERIFE,SANTA CRUZ DE TENERIFE,36,9,0.0,0,2017-18,0,0,151.0,149,152,1,152,0.0,0,9,0,22.0,13.7,11.8,2021-02-05,0,0
C449F,ANAGA ,STA. CRUZ DE TENERIFE,19,9,0.0,0,2017-18,0,0,151.0,144,152,2,152,0.0,0,9,0,27.0,12.7,11.2,2020-01-22,0,0
C457I,LA VICTORIA DE ACENTEJO,STA. CRUZ DE TENERIFE,567,9,49.0,70,2018-19,13,53,91.0,50,119,26,50,0.0,0,9,0,37.0,7.5,6.2,2018-03-23,109,434
C458A,TACORONTE,STA. CRUZ DE TENERIFE,310,9,1.0,5,2020-21,0,3,136.0,108,148,10,118,0.0,0,9,0,32.0,10.4,8.6,2021-02-04,0,15
C459Z,PUERTO DE LA CRUZ,STA. CRUZ DE TENERIFE,25,9,0.0,0,2017-18,0,0,151.0,146,152,1,152,0.0,0,9,0,25.0,13.5,11.7,2018-01-30,0,0
C468X,SAN JUAN DE LA RAMBLA,STA. CRUZ DE TENERIFE,667,7,61.0,81,2020-21,20,79,62.0,44,109,37,39,0.0,0,7,0,32.0,7.2,5.8,2021-02-05,140,409
C611E,VEGA DE SAN MATEO,LAS PALMAS,1702,9,126.0,144,2021-22,124,138,21.0,10,45,78,11,2.0,5,2,2,39.0,0.3,-1.8,2020-01-22,431,1167
C612F,"TEJEDA, CRUZ DE TEJEDA",LAS PALMAS,1514,9,118.0,124,2021-22,95,123,24.0,13,51,63,13,0.0,0,9,0,32.0,1.5,0.1,2018-02-08,380,1028
C614H,TEJEDA,LAS PALMAS,1060,9,64.0,88,2025-26,29,88,83.0,64,119,38,38,0.0,0,9,0,25.0,6.2,3.9,2018-02-08,179,563
C619X,AGAETE,LAS PALMAS,5,9,0.0,0,2017-18,0,0,150.0,142,152,4,152,0.0,0,9,0,19.0,14.0,12.3,2018-02-08,0,0
C619Y,LA ALDEA DE SAN NICOLÁS,LAS PALMAS,13,9,11.0,34,2018-19,2,15,151.0,148,151,1,151,0.0,0,9,0,14.0,8.2,6.2,2019-02-07,2,126
C623I,"SAN BARTOLOME TIRAJANA, CUEVAS DEL PINAR",LAS PALMAS,1220,9,90.0,97,2021-22,50,97,44.0,36,85,71,29,0.0,0,9,0,16.0,4.8,3.1,2018-02-08,256,742
C625O,"SAN BARTOLOME TIRAJANA, LOMO PEDRO ALFONSO",LAS PALMAS,806,9,33.0,48,2017-18,5,44,115.0,92,141,19,55,0.0,0,9,0,14.0,7.8,6.6,2018-02-08,93,282
C628B,"LA ALDEA DE SAN NICOLÁS, TASARTE",LAS PALMAS,318,9,0.0,0,2017-18,0,0,145.0,128,152,8,152,0.0,0,9,0,10.0,11.3,10.1,2026-01-09,0,0
C629Q,"MOGÁN, PUERTO RICO",LAS PALMAS,10,9,0.0,0,2017-18,0,0,151.0,147,152,2,152,0.0,0,9,0,5.0,14.4,13.2,2021-02-05,0,0
C629X,"MOGÁN, PUERTO",LAS PALMAS,10,9,0.0,0,2017-18,0,0,149.0,148,152,1,152,0.0,0,9,0,5.0,13.2,11.9,2021-01-18,0,0
C635B,"SAN BARTOLOME TIRAJANA, LAS TIRAJANAS",LAS PALMAS,960,9,77.0,84,2017-18,36,84,106.0,78,133,21,67,0.0,0,9,0,13.0,6.0,4.9,2019-01-11,203,635
C639M,"MASPALOMAS, C. INSULAR TURISMO ",LAS PALMAS,45,9,0.0,0,2017-18,0,0,150.0,148,151,1,151,0.0,0,9,0,7.0,13.5,12.0,2018-01-31,0,0
C639U,"SAN BARTOLOME TIRAJANA, EL MATORRAL",LAS PALMAS,41,9,0.0,1,2017-18,0,0,151.0,147,152,1,152,0.0,0,9,0,8.0,12.2,9.4,2018-01-31,0,1
C648C,AGÜIMES,LAS PALMAS,306,9,0.0,2,2017-18,0,1,145.0,124,150,5,128,0.0,0,9,0,21.0,10.9,8.9,2018-02-08,0,3
C648N,"TELDE, CENTRO FORESTAL DORAMAS",LAS PALMAS,344,9,4.0,6,2017-18,0,6,121.0,102,145,19,50,0.0,0,9,0,27.0,10.1,8.8,2019-01-10,3,34
C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,9,0.0,0,2017-18,0,0,147.0,140,150,1,111,0.0,0,9,0,13.0,13.1,10.6,2018-02-08,0,0
C649R,"TELDE, MELENARA",LAS PALMAS,9,9,0.0,2,2019-20,0,0,151.0,143,152,2,152,0.0,0,9,0,12.0,11.6,9.8,2020-01-16,0,2
C656V,TEROR,LAS PALMAS,683,9,74.0,106,2018-19,50,77,82.0,61,111,26,38,0.0,0,9,0,40.0,6.1,3.4,2019-01-10,202,676
C658L,LAS PALMAS DE G.C. (TAFIRA CMT),LAS PALMAS,269,9,0.0,2,2025-26,0,2,127.0,95,151,21,118,0.0,0,9,0,25.0,11.1,9.4,2025-12-13,0,2
C658X,"LAS PALMAS DE GRAN CANARIA, TAFIRA",LAS PALMAS,269,9,0.0,1,2017-18,0,0,121.0,85,147,14,62,0.0,0,9,0,25.0,10.8,9.6,2018-02-08,0,3
C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",LAS PALMAS,55,7,0.0,0,2017-18,0,0,144.0,138,149,3,145,0.0,0,7,0,18.0,12.9,10.5,2018-02-08,0,0
C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",LAS PALMAS,15,9,0.0,0,2017-18,0,0,149.0,128,152,3,152,0.0,0,9,0,18.0,14.1,12.1,2018-02-08,0,0
C665T,VALLESECO,LAS PALMAS,900,9,85.0,108,2018-19,45,85,62.0,41,94,28,29,0.0,0,9,0,45.0,6.4,4.4,2019-02-08,256,745
C668V,AGAETE - SUERTE ALTA,LAS PALMAS,352,9,1.0,2,2017-18,0,2,117.0,90,142,20,50,0.0,0,9,0,28.0,10.8,8.8,2018-02-08,2,7
C669B,ARUCAS,LAS PALMAS,86,9,0.0,0,2017-18,0,0,150.0,133,152,8,152,0.0,0,9,0,20.0,12.5,10.4,2019-02-26,0,0
C839X,LA GRACIOSA,LAS PALMAS,19,9,0.0,2,2017-18,0,0,149.0,118,152,2,152,0.0,0,9,0,13.0,11.4,9.5,2018-02-08,1,3
C916Q,"EL PINAR, DEPÓSITO",STA. CRUZ DE TENERIFE,948,9,101.0,114,2018-19,66,100,47.0,23,82,60,18,0.0,0,9,0,38.0,4.9,3.1,2023-02-02,296,863
C917E,"EL PINAR, LA DEHESA",STA. CRUZ DE TENERIFE,713,9,24.0,37,2017-18,1,33,72.0,43,98,48,40,0.0,0,9,0,39.0,8.6,7.0,2021-02-05,74,215
C919K,TACORON-LAPILLAS-TORTUGA,STA. CRUZ DE TENERIFE,98,9,0.0,0,2017-18,0,0,149.0,123,152,1,152,0.0,0,9,0,10.0,14.2,12.2,2018-02-23,0,0
C925F,"SAN ANDRÉS, VALVERDE",STA. CRUZ DE TENERIFE,1070,8,116.0,132,2021-22,98,125,30.0,16,54,60,14,0.0,0,8,0,46.0,3.9,1.6,2026-01-26,315,937
C928I,VALVERDE,STA. CRUZ DE TENERIFE,670,6,8.0,13,2020-21,1,11,36.0,32,82,61,22,0.0,0,6,0,33.0,9.6,7.2,2021-02-05,19,48
C929I,HIERRO AEROPUERTO,SANTA CRUZ DE TENERIFE,32,9,0.0,0,2017-18,0,0,151.0,149,152,1,152,0.0,0,9,0,17.0,14.9,12.5,2021-02-05,0,0
C939T,"FRONTERA, SABINOSA",STA. CRUZ DE TENERIFE,20,9,0.0,0,2017-18,0,0,151.0,148,152,2,152,0.0,0,9,0,20.0,14.2,12.4,2021-02-05,0,0
