rank,indicativo,nombre,provincia,altitud_m,lat,lon,n_anios,tmax_media_verano,tmax_normal_verano,tmax_anomalia,tmax_tendencia,tmax_esperada,residual,score_refugio
139,C925F,"SAN ANDRÉS, VALVERDE",STA. CRUZ DE TENERIFE,1070,27.769,-17.960,8.000,23.561,,,0.128,27.219,-3.658,-1.690
140,C649R,"TELDE, MELENARA",LAS PALMAS,9,27.987,-15.378,9.000,26.219,,,0.140,30.269,-4.050,-1.689
141,B780X,PORT DE POLLENÇA,ILLES BALEARS,2,39.909,3.100,9.000,30.990,,,0.096,33.573,-2.583,-1.686
142,9563X,CASTELLFORT,CASTELLON,1220,40.499,-0.187,9.000,25.018,,,0.155,29.547,-4.529,-1.685
143,0092X,BERGA,BARCELONA,682,42.101,1.858,9.000,29.297,,,0.062,30.771,-1.474,-1.681
144,9839V,"CERLER, COGULLA",HUESCA,2374,42.555,0.543,6.000,16.053,,,0.348,26.856,-10.803,-1.676
145,1089U,RAMALES DE LA VICTORIA,CANTABRIA,80,43.256,-3.471,9.000,26.097,,,0.103,28.880,-2.782,-1.674
146,1109,SANTANDER AEROPUERTO,CANTABRIA,3,43.424,-3.826,9.000,23.994,,,0.164,28.781,-4.787,-1.673
147,B605X,"MURO, S'ALBUFERA",ILLES BALEARS,2,39.797,3.105,9.000,30.254,,,0.122,33.625,-3.371,-1.664
148,1154H,"TORRELAVEGA, SIERRAPANDO",CANTABRIA,110,43.359,-4.027,9.000,23.511,,,0.173,28.520,-5.009,-1.658
149,C428T,ARICO,STA. CRUZ DE TENERIFE,418,28.181,-16.483,9.000,26.254,,,0.103,28.918,-2.664,-1.644
150,C439J,GÜÍMAR,SANTA CRUZ DE TENERIFE,115,28.318,-16.382,9.000,27.421,,,0.084,29.460,-2.038,-1.635
151,9257X,"ESTERIBAR, EMBALSE DE EUGI",NAVARRA,615,42.971,-1.517,9.000,25.700,,,0.122,28.936,-3.235,-1.625
152,0360X,LES PLANES D'HOSTOLES,GIRONA,337,42.053,2.551,9.000,30.284,,,0.068,31.748,-1.464,-1.621
153,1327A,"VILLAYÓN, ONETA",ASTURIAS,410,43.466,-6.673,9.000,21.160,,,0.194,26.690,-5.530,-1.603
154,B640X,PETRA,BALEARES,95,39.616,3.121,5.000,32.231,,,0.067,33.543,-1.311,-1.594
155,0411X,CASTELLÓ D'EMPÚRIES,GIRONA,2,42.225,3.093,9.000,29.751,,,0.112,32.538,-2.787,-1.590
156,9060X,LALASTRA,ARABA/ALAVA,910,42.875,-3.232,9.000,25.020,,,0.107,27.639,-2.619,-1.587
157,9995Y,VALCARLOS/LUZAIDE,NAVARRA,334,43.091,-1.301,9.000,24.649,,,0.177,29.498,-4.848,-1.575
158,7031X,SAN JAVIER AEROPUERTO,MURCIA,4,37.778,-0.806,9.000,30.440,,,0.098,32.700,-2.260,-1.574
159,0320I,PLANOLES,GIRONA,1151,42.317,2.103,9.000,26.086,,,0.146,29.930,-3.844,-1.574
160,6205X,TORROX,MALAGA,3,36.726,-3.957,9.000,28.621,,,0.123,31.703,-3.083,-1.573
161,0158X,MONISTROL DE MONTSERRAT,BARCELONA,738,41.594,1.839,9.000,26.388,,,0.168,30.886,-4.498,-1.556
162,C669B,ARUCAS,LAS PALMAS,86,28.142,-15.507,9.000,24.980,,,0.184,29.999,-5.019,-1.554
163,3130C,SIGÜENZA,GUADALAJARA,1005,41.086,-2.618,9.000,29.369,,,0.006,28.548,0.821,-1.548
164,1041A,ZUMAIA,GIPUZKOA,28,43.302,-2.251,9.000,25.117,,,0.166,29.522,-4.405,-1.543
