rank,indicativo,nombre,provincia,altitud_m,lat,lon,n_anios,tmin_media_verano,noches_trop_anio,noches_ecua_anio,tmin_tendencia,tmin_esperada,residual,score_refugio_noche
80,0394X,LA VALL DE BIANYA,GIRONA,350.000,42.211,2.472,10.000,15.527,1.400,0.000,0.156,17.976,-2.449,-2.529
81,C117A,PUNTAGORDA,STA. CRUZ DE TENERIFE,684.000,28.761,-17.986,10.000,16.326,14.000,3.600,0.059,17.544,-1.218,-2.508
82,2926B,BAÑOBÁREZ,SALAMANCA,748.000,40.851,-6.609,10.000,12.604,0.700,0.000,0.101,13.761,-1.157,-2.498
83,9453X,"BIESCAS, EMBALSE DE BÚBAL",HUESCA,1100.000,42.699,-0.319,10.000,11.602,0.000,0.000,0.132,13.377,-1.776,-2.492
84,9228J,OROZ-BETELU/OROTZ-BETELU,NAVARRA,635.000,42.896,-1.300,10.000,13.211,0.100,0.000,0.129,14.909,-1.698,-2.478
85,8458X,CEDRILLAS,TERUEL,1380.000,40.431,-0.849,10.000,11.767,0.000,0.000,0.127,13.411,-1.644,-2.472
86,4527X,AROCHE,HUELVA,267.000,37.980,-6.976,10.000,14.255,2.000,0.000,0.198,17.544,-3.289,-2.454
87,C258K,LA OLIVA,LAS PALMAS,217.000,28.613,-13.932,10.000,18.877,17.200,0.300,0.103,21.163,-2.286,-2.453
88,1455I,RODEIRO-VILAMAIOR,PONTEVEDRA,645.000,42.711,-7.954,9.000,11.215,0.000,0.000,0.114,12.527,-1.311,-2.442
89,1465U,LALIN-CRISTIMIL,PONTEVEDRA,463.000,42.666,-8.193,9.000,12.448,0.000,0.000,0.091,13.258,-0.810,-2.441
90,C458A,TACORONTE,STA. CRUZ DE TENERIFE,310.000,28.496,-16.420,10.000,18.218,7.900,0.000,0.110,19.914,-1.697,-2.392
91,8008Y,VILLENA,ALICANTE,486.000,38.577,-0.866,10.000,15.290,4.100,0.000,0.192,18.469,-3.179,-2.376
