indicativo,nombre,provincia,altitud_m,anios,noches_trop_peor_anio,peor_anio,noches_trop_mejor_anio,noches_trop_ultimo_anio,noches_trop_anio_medio,racha_max_historica,racha_max_en_un_anio,noches_ecua_peor_anio,tmin_p95,peor_noche,peor_noche_fecha,noche_mas_fria,noches_fuera_jja_anio
8300X,CARCAIXENT,VALENCIA,25.0,9,66,2023,44,56,54.3,31,31,3,23.5,26.2,2023-07-31,-4.0,6.8
7145D,,,,9,66,2024,22,66,44.1,36,36,2,22.7,26.7,2019-07-07,-3.7,4.0
5181D,ARROYO DEL OJANCO,JAEN,580.0,8,66,2022,23,54,46.0,26,26,3,23.5,26.6,2023-08-10,-6.5,4.4
5429X,"CÓRDOBA, PRÁGDENA",CORDOBA,275.0,9,66,2025,36,66,51.9,31,31,3,23.0,26.7,2018-08-04,-3.0,4.9
5470,FUENTE PALMERA,CORDOBA,120.0,9,66,2025,35,66,50.3,23,23,2,22.9,26.5,2024-07-29,-3.0,5.2
7237E,MOLINA DE SEGURA,MURCIA,170.0,9,66,2024,36,66,51.0,32,32,2,22.7,26.2,2023-08-03,-1.0,6.8
6056X,SAN ROQUE,CADIZ,1.0,9,67,2025,39,67,49.1,22,22,3,22.4,25.8,2024-08-30,1.8,11.9
5598X,BENAMEJÍ,CORDOBA,465.0,9,67,2025,26,67,49.9,29,29,4,23.3,27.0,2021-08-15,-1.9,4.1
5790Y,"SEVILLA, TABLADA",SEVILLA,9.0,9,67,2025,37,67,51.8,30,30,5,23.6,28.7,2022-07-25,-1.6,8.7
B925,SANT ANTONI DE PORTMANY,BALEARES,32.0,7,67,2023,38,59,55.4,32,32,3,22.9,28.1,2019-07-07,-1.3,9.7
8018X,ELX/ELCHE,ALICANTE,110.0,9,67,2023,35,59,51.6,19,19,2,22.8,27.1,2022-08-13,-0.4,7.8
6281X,VÁLOR,GRANADA,1020.0,9,68,2025,32,68,45.3,22,22,10,23.9,29.9,2017-07-13,-2.0,3.7
C668V,AGAETE - SUERTE ALTA,LAS PALMAS,352.0,8,68,2023,11,27,33.1,17,17,17,24.9,32.3,2021-08-17,8.8,17.1
4300Y,ALMADÉN,CIUDAD REAL,535.0,9,68,2022,44,61,54.7,37,37,10,24.0,27.3,2021-08-15,-3.7,5.3
