indicativo,temporada,nombre,provincia,altitud,dias_tmin,dias_tmax,noches_calefaccion,noches_frias,heladas,heladas_fuertes,calefaccion_nucleo,heladas_nucleo,dias_terraza,dias_terraza_20,dias_lluvia,racha_terraza,racha_sin_terraza,racha_heladas,tmin_p05,tmin_min,tmin_min_fecha,tmax_max,tmax_max_fecha
0073X,2018-19,SITGES,BARCELONA,58,151,151,134,28,0,0,88,0,29,15,13,7,46,0,3.2,1.4,2019-01-24,22.1,2019-03-23
0073X,2019-20,SITGES,BARCELONA,58,152,152,121,20,0,0,73,0,33,8,20,7,35,0,4.1,2.5,2020-01-01,23.6,2019-11-02
0073X,2020-21,SITGES,BARCELONA,58,145,145,106,22,0,0,73,0,33,14,20,15,41,0,2.4,0.4,2021-01-06,22.2,2020-11-03
0073X,2021-22,SITGES,BARCELONA,58,146,146,112,27,0,0,77,0,18,5,18,5,43,0,2.7,1.5,2022-01-23,23.1,2021-11-01
0073X,2022-23,SITGES,BARCELONA,58,151,151,107,35,1,0,80,1,52,30,15,18,31,1,2.6,-1.8,2023-01-22,26.4,2023-03-11
0073X,2023-24,SITGES,BARCELONA,58,152,152,105,12,0,0,76,0,53,20,17,10,11,0,4.4,1.3,2024-01-13,24.8,2023-11-14
0073X,2024-25,SITGES,BARCELONA,58,151,151,110,20,0,0,82,0,40,19,24,12,59,0,3.9,1.4,2025-01-15,22.6,2024-11-04
0073X,2025-26,SITGES,BARCELONA,58,151,151,119,17,0,0,79,0,35,17,32,9,54,0,4.1,2.1,2026-01-07,24.0,2025-11-02
0076,2017-18,BARCELONA AEROPUERTO,BARCELONA,4,150,150,127,44,0,0,82,0,35,15,23,8,38,0,2.3,0.6,2018-02-09,23.8,2018-01-21
0076,2018-19,BARCELONA AEROPUERTO,BARCELONA,4,151,151,122,21,0,0,88,0,37,13,11,6,47,0,3.2,1.3,2019-01-11,22.4,2019-03-04
0076,2019-20,BARCELONA AEROPUERTO,BARCELONA,4,152,152,109,19,0,0,68,0,40,17,20,7,22,0,4.1,2.4,2020-01-12,24.7,2019-11-04
0076,2020-21,BARCELONA AEROPUERTO,BARCELONA,4,149,149,105,26,1,0,77,1,30,13,19,15,59,1,2.4,-0.5,2021-01-06,21.6,2020-11-14
0076,2021-22,BARCELONA AEROPUERTO,BARCELONA,4,151,151,120,26,0,0,84,0,27,10,19,5,33,0,2.5,1.3,2022-01-15,25.0,2021-11-01
0076,2022-23,BARCELONA AEROPUERTO,BARCELONA,4,151,151,105,36,1,0,83,1,44,29,11,18,34,1,1.9,-0.8,2023-01-22,26.6,2023-03-11
0076,2023-24,BARCELONA AEROPUERTO,BARCELONA,4,148,148,98,15,0,0,73,0,44,19,13,9,14,0,4.1,2.5,2024-01-09,23.3,2023-11-14
0076,2024-25,BARCELONA AEROPUERTO,BARCELONA,4,151,151,100,22,0,0,78,0,37,21,22,11,57,0,3.8,0.6,2025-01-14,23.1,2024-11-05
