idema,nombre,provincia,altitud,lat,lon,noches,h20_mediana,h20_peor,h20_mejor,h18_mediana,h18_peor,noches_sin_alivio,cruce_20_tipico,nunca_cruza
2092,BURGO DE OSMA,SORIA,932,41.589444444444446,-3.0869444444444447,22,9.0,4,9,8.0,0,0,23,0
2117D,ARANDA DE DUERO,BURGOS,790,41.66583333333333,-3.742777777777778,23,9,4,9,9,0,0,23,0
2444,ÁVILA,AVILA,1130,40.659166666666664,-4.679722222222223,23,9,4,9,8,1,0,23,0
2775X,VILLARDECIERVOS,ZAMORA,850,41.94138888888889,-6.279722222222222,11,9,4,9,8,1,0,23,0
2847X,PEDROSILLO DE LOS AIRES,SALAMANCA,865,40.675555555555555,-5.643333333333333,18,9.0,4,9,9.0,0,0,23,0
2863C,PEDRAZA DE ALBA,SALAMANCA,897,40.73222222222223,-5.366111111111111,23,9,4,9,9,0,0,23,0
9374X,SANTA EULALIA DEL CAMPO,TERUEL,1000,40.56666666666667,-1.3208333333333333,22,9.0,4,9,8.0,2,0,23,0
9990X,"NAUT ARAN, ARTIES",LLEIDA,1161,42.70027777777778,0.8769444444444445,23,9,4,9,9,0,0,23,0
0114X,PRATS DE LLUÇANÈS,BARCELONA,700,42.00694444444444,2.0266666666666664,18,9.0,3,9,7.0,0,0,23,0
1064L,"OROZKO, IBARRA",BIZKAIA,270,43.09638888888889,-2.8602777777777777,23,9,3,9,9,0,0,23,0
1327A,"VILLAYÓN, ONETA",ASTURIAS,410,43.46555555555556,-6.673333333333334,17,9,3,9,9,1,0,23,0
1387E,A CORUÑA AEROPUERTO,A CORUÑA,98,43.30694444444444,-8.371944444444445,19,9,3,9,8,0,0,23,0
1406X,MAZARICOS,A CORUÑA,340,42.93527777777778,-8.993611111111111,23,9,3,9,9,0,0,23,0
1428,SANTIAGO DE COMPOSTELA AEROPUERTO,A CORUÑA,370,42.88805555555555,-8.410555555555556,21,9,3,9,9,0,0,23,0
1738U,MUIÑOS,OURENSE,730,41.93416666666666,-7.988888888888889,23,9,3,9,9,1,0,23,0
2517A,FUENTE EL SOL,VALLADOLID,755,41.172777777777775,-4.939722222222223,23,9,3,9,8,0,0,23,0
2728B,"QUINTANA DEL CASTILLO, VILLAMECA",LEON,995,42.64833333333333,-6.070833333333333,23,9,3,9,9,0,0,23,0
7067Y,NERPIO,ALBACETE,1485,38.08833333333334,-2.4130555555555553,23,9,3,9,9,1,0,23,0
7195X,"CARAVACA DE LA CRUZ, LOS ROYOS",MURCIA,985,37.92611111111111,-2.058333333333333,23,9,3,9,9,0,0,23,0
9136X,"ANGUIANO, VALVANERA",LA RIOJA,1006,42.23083333333334,-2.871111111111111,22,9.0,3,9,9.0,0,0,23,0
9198X,CANFRANC - ESTACION,HUESCA,1197,42.74944444444444,-0.5161111111111111,21,9,3,9,9,0,0,23,0
9228T,RONCESVALLES/ORREAGA,NAVARRA,947,43.007777777777775,-1.3255555555555556,23,9,3,9,9,0,0,23,0
9352A,ALMAZUL,SORIA,1000,41.57472222222223,-2.140277777777778,23,9,3,9,8,0,0,23,0
9377Y,EL PEDREGAL,GUADALAJARA,1185,40.77861111111111,-1.5683333333333334,23,9,3,9,9,0,0,23,0
9390,DAROCA,ZARAGOZA,774,41.114444444444445,-1.41,23,9,3,9,8,0,0,23,0
C101A,ROQUE DE LOS MUCHACHOS,SANTA CRUZ DE TENERIFE,2223,28.75583333333333,-17.89527777777778,23,9,3,9,9,0,0,23,0
0394X,LA VALL DE BIANYA,GIRONA,350,42.21055555555556,2.4719444444444445,22,9.0,3,9,9.0,0,0,23,0
1048X,ARETXABALETA,GIPUZKOA,308,43.025,-2.4658333333333333,23,9,2,9,9,0,0,23,0
1083B,SOPUERTA,BIZKAIA,177,43.27972222222222,-3.168611111111111,21,9,2,9,9,0,0,23,0
1221D,PAJARES-VALGRANDE,ASTURIAS,1480,42.978611111111114,-5.776388888888889,23,9,2,9,9,0,0,23,0
1341B,"TARAMUNDI, OURIA",ASTURIAS,340,43.41555555555556,-7.061111111111111,16,9.0,2,9,9.0,2,0,23,0
